log_id,reuse_probability,xes_runtime_sec,ocel_runtime_sec
log_0001,0.1,0.0261,0.0305
log_0002,0.1,0.0063,0.0206
log_0003,0.1,0.0108,0.0385
log_0004,0.1,0.0037,0.0105
log_0005,0.1,0.0028,0.0089
log_0006,0.1,0.0126,0.0458
log_0007,0.1,0.0078,0.0281
log_0008,0.1,0.0055,0.0203
log_0009,0.1,0.0081,0.028
log_0010,0.1,0.0108,0.0878
log_0011,0.1,0.0051,0.0173
log_0012,0.1,0.0056,0.0178
log_0013,0.1,0.0105,0.0345
log_0014,0.1,0.0061,0.0231
log_0015,0.1,0.009,0.0375
log_0016,0.1,0.01,0.0462
log_0017,0.1,0.0075,0.0329
log_0018,0.1,0.0556,0.0353
log_0019,0.1,0.0105,0.035
log_0020,0.1,0.0133,0.0518
log_0021,0.1,0.0096,0.0309
log_0022,0.1,0.0088,0.0323
log_0023,0.1,0.0114,0.0355
log_0024,0.1,0.007,0.023
log_0025,0.1,0.004,0.0153
log_0026,0.3,0.0122,0.0347
log_0027,0.3,0.006,0.0278
log_0028,0.3,0.0107,0.075
log_0029,0.3,0.0084,0.0285
log_0030,0.3,0.0054,0.0175
log_0031,0.3,0.0102,0.038
log_0032,0.3,0.0026,0.0076
log_0033,0.3,0.0104,0.0354
log_0034,0.3,0.0068,0.0221
log_0035,0.3,0.0083,0.0311
log_0036,0.3,0.0099,0.0341
log_0037,0.3,0.0096,0.0346
log_0038,0.3,0.005,0.0159
log_0039,0.3,0.0034,0.0103
log_0040,0.3,0.0042,0.0147
log_0041,0.3,0.0034,0.0104
log_0042,0.3,0.0065,0.022
log_0043,0.3,0.0065,0.021
log_0044,0.3,0.0056,0.0227
log_0045,0.3,0.0078,0.0246
log_0046,0.3,0.0051,0.0183
log_0047,0.3,0.0086,0.0312
log_0048,0.3,0.0076,0.0275
log_0049,0.3,0.0053,0.0171
log_0050,0.3,0.0035,0.0118
log_0051,0.5,0.0175,0.1016
log_0052,0.5,0.0068,0.0222
log_0053,0.5,0.0082,0.0295
log_0054,0.5,0.0087,0.0289
log_0055,0.5,0.0056,0.0187
log_0056,0.5,0.0053,0.0095
log_0057,0.5,0.0055,0.0189
log_0058,0.5,0.0032,0.0082
log_0059,0.5,0.0092,0.0309
log_0060,0.5,0.0066,0.0215
log_0061,0.5,0.0083,0.0263
log_0062,0.5,0.0041,0.0133
log_0063,0.5,0.0082,0.0267
log_0064,0.5,0.0031,0.0079
log_0065,0.5,0.0066,0.0223
log_0066,0.5,0.003,0.0103
log_0067,0.5,0.0037,0.0096
log_0068,0.5,0.0038,0.0101
log_0069,0.5,0.0056,0.019
log_0070,0.5,0.0117,0.0414
log_0071,0.5,0.0033,0.0101
log_0072,0.5,0.0045,0.0136
log_0073,0.5,0.0083,0.0295
log_0074,0.5,0.0031,0.0497
log_0075,0.5,0.0064,0.02
log_0076,0.7,0.0078,0.0203
log_0077,0.7,0.005,0.017
log_0078,0.7,0.0054,0.0176
log_0079,0.7,0.0062,0.0182
log_0080,0.7,0.0071,0.0233
log_0081,0.7,0.0037,0.0109
log_0082,0.7,0.0063,0.0589
log_0083,0.7,0.005,0.0152
log_0084,0.7,0.007,0.0249
log_0085,0.7,0.0075,0.0254
log_0086,0.7,0.007,0.0225
log_0087,0.7,0.0088,0.0295
log_0088,0.7,0.0097,0.0323
log_0089,0.7,0.0074,0.0219
log_0090,0.7,0.0057,0.019
log_0091,0.7,0.006,0.0176
log_0092,0.7,0.0073,0.024
log_0093,0.7,0.004,0.013
log_0094,0.7,0.0057,0.0176
log_0095,0.7,0.0112,0.038
log_0096,0.7,0.01,0.032
log_0097,0.7,0.0048,0.0157
log_0098,0.7,0.0107,0.0223
log_0099,0.7,0.0116,0.0226
log_0100,0.7,0.003,0.0087
log_0101,0.9,0.005,0.0152
log_0102,0.9,0.006,0.0184
log_0103,0.9,0.0038,0.0114
log_0104,0.9,0.0036,0.0097
log_0105,0.9,0.003,0.0081
log_0106,0.9,0.0054,0.0163
log_0107,0.9,0.0067,0.0192
log_0108,0.9,0.007,0.0226
log_0109,0.9,0.0039,0.0495
log_0110,0.9,0.0045,0.0144
log_0111,0.9,0.0066,0.0216
log_0112,0.9,0.0045,0.0144
log_0113,0.9,0.0032,0.0097
log_0114,0.9,0.0075,0.0252
log_0115,0.9,0.0081,0.0263
log_0116,0.9,0.0037,0.0107
log_0117,0.9,0.0082,0.0272
log_0118,0.9,0.0049,0.0149
log_0119,0.9,0.0039,0.0123
log_0120,0.9,0.0072,0.0233
log_0121,0.9,0.0054,0.017
log_0122,0.9,0.0045,0.016
log_0123,0.9,0.0149,0.0445
log_0124,0.9,0.0068,0.0229
log_0125,0.9,0.0094,0.017
log_0126,0.95,0.003,0.0088
log_0127,0.95,0.0092,0.0283
log_0128,0.95,0.0055,0.0169
log_0129,0.95,0.0073,0.0233
log_0130,0.95,0.0039,0.0125
log_0131,0.95,0.0091,0.028
log_0132,0.95,0.0086,0.0277
log_0133,0.95,0.0128,0.0403
log_0134,0.95,0.004,0.0175
log_0135,0.95,0.0139,0.0817
log_0136,0.95,0.0028,0.0072
log_0137,0.95,0.0117,0.0297
log_0138,0.95,0.0105,0.0294
log_0139,0.95,0.0098,0.0296
log_0140,0.95,0.0086,0.0662
log_0141,0.95,0.0111,0.0326
log_0142,0.95,0.0064,0.0195
log_0143,0.95,0.0065,0.0216
log_0144,0.95,0.0038,0.0108
log_0145,0.95,0.0098,0.0325
log_0146,0.95,0.0069,0.0215
log_0147,0.95,0.0049,0.0161
log_0148,0.95,0.0054,0.0176
log_0149,0.95,0.0056,0.0178
log_0150,0.95,0.0048,0.0154
